symbol,longAccount,longShortRatio,shortAccount,timestamp
AVAXUSDT,0.6473,1.8353,0.3527,2026-03-25 22:40:00+00:00
AVAXUSDT,0.6481,1.8417,0.3519,2026-03-25 22:45:00+00:00
AVAXUSDT,0.6488,1.8474,0.3512,2026-03-25 22:50:00+00:00
AVAXUSDT,0.6488,1.8474,0.3512,2026-03-25 22:55:00+00:00
AVAXUSDT,0.6488,1.8474,0.3512,2026-03-25 23:00:00+00:00
AVAXUSDT,0.649,1.849,0.351,2026-03-25 23:05:00+00:00
AVAXUSDT,0.6496,1.8539,0.3504,2026-03-25 23:10:00+00:00
AVAXUSDT,0.6491,1.8498,0.3509,2026-03-25 23:15:00+00:00
AVAXUSDT,0.6494,1.8523,0.3506,2026-03-25 23:20:00+00:00
AVAXUSDT,0.6496,1.8539,0.3504,2026-03-25 23:25:00+00:00
AVAXUSDT,0.6499,1.8563,0.3501,2026-03-25 23:30:00+00:00
AVAXUSDT,0.65,1.8571,0.35,2026-03-25 23:35:00+00:00
AVAXUSDT,0.6502,1.8588,0.3498,2026-03-25 23:40:00+00:00
AVAXUSDT,0.6503,1.8596,0.3497,2026-03-25 23:45:00+00:00
AVAXUSDT,0.6505,1.8612,0.3495,2026-03-25 23:50:00+00:00
AVAXUSDT,0.6506,1.862,0.3494,2026-03-25 23:55:00+00:00
AVAXUSDT,0.6506,1.862,0.3494,2026-03-26 00:00:00+00:00
AVAXUSDT,0.6512,1.867,0.3488,2026-03-26 00:05:00+00:00
AVAXUSDT,0.651,1.8653,0.349,2026-03-26 00:10:00+00:00
AVAXUSDT,0.6518,1.8719,0.3482,2026-03-26 00:15:00+00:00
AVAXUSDT,0.6518,1.8719,0.3482,2026-03-26 00:20:00+00:00
AVAXUSDT,0.6519,1.8727,0.3481,2026-03-26 00:25:00+00:00
AVAXUSDT,0.6514,1.8686,0.3486,2026-03-26 00:30:00+00:00
AVAXUSDT,0.6514,1.8686,0.3486,2026-03-26 00:35:00+00:00
AVAXUSDT,0.651,1.8653,0.349,2026-03-26 00:40:00+00:00
AVAXUSDT,0.6509,1.8645,0.3491,2026-03-26 00:45:00+00:00
AVAXUSDT,0.6508,1.8637,0.3492,2026-03-26 00:50:00+00:00
AVAXUSDT,0.6512,1.867,0.3488,2026-03-26 00:55:00+00:00
AVAXUSDT,0.6511,1.8662,0.3489,2026-03-26 01:00:00+00:00
AVAXUSDT,0.6516,1.8703,0.3484,2026-03-26 01:05:00+00:00
AVAXUSDT,0.6513,1.8678,0.3487,2026-03-26 01:10:00+00:00
AVAXUSDT,0.6514,1.8686,0.3486,2026-03-26 01:15:00+00:00
AVAXUSDT,0.6507,1.8629,0.3493,2026-03-26 01:20:00+00:00
AVAXUSDT,0.6506,1.862,0.3494,2026-03-26 01:25:00+00:00
AVAXUSDT,0.6507,1.8629,0.3493,2026-03-26 01:30:00+00:00
AVAXUSDT,0.6511,1.8662,0.3489,2026-03-26 01:35:00+00:00
AVAXUSDT,0.6512,1.867,0.3488,2026-03-26 01:40:00+00:00
AVAXUSDT,0.6505,1.8612,0.3495,2026-03-26 01:45:00+00:00
