symbol,longAccount,longShortRatio,shortAccount,timestamp
ADAUSDT,0.647,1.8329,0.353,2026-03-25 22:40:00+00:00
ADAUSDT,0.6454,1.8201,0.3546,2026-03-25 22:45:00+00:00
ADAUSDT,0.6455,1.8209,0.3545,2026-03-25 22:50:00+00:00
ADAUSDT,0.6459,1.8241,0.3541,2026-03-25 22:55:00+00:00
ADAUSDT,0.6461,1.8257,0.3539,2026-03-25 23:00:00+00:00
ADAUSDT,0.6469,1.8321,0.3531,2026-03-25 23:05:00+00:00
ADAUSDT,0.6473,1.8353,0.3527,2026-03-25 23:10:00+00:00
ADAUSDT,0.6472,1.8345,0.3528,2026-03-25 23:15:00+00:00
ADAUSDT,0.6477,1.8385,0.3523,2026-03-25 23:20:00+00:00
ADAUSDT,0.6482,1.8425,0.3518,2026-03-25 23:25:00+00:00
ADAUSDT,0.6486,1.8458,0.3514,2026-03-25 23:30:00+00:00
ADAUSDT,0.6488,1.8474,0.3512,2026-03-25 23:35:00+00:00
ADAUSDT,0.6492,1.8506,0.3508,2026-03-25 23:40:00+00:00
ADAUSDT,0.6494,1.8523,0.3506,2026-03-25 23:45:00+00:00
ADAUSDT,0.6495,1.8531,0.3505,2026-03-25 23:50:00+00:00
ADAUSDT,0.6499,1.8563,0.3501,2026-03-25 23:55:00+00:00
ADAUSDT,0.65,1.8571,0.35,2026-03-26 00:00:00+00:00
ADAUSDT,0.6505,1.8612,0.3495,2026-03-26 00:05:00+00:00
ADAUSDT,0.6507,1.8629,0.3493,2026-03-26 00:10:00+00:00
ADAUSDT,0.6512,1.867,0.3488,2026-03-26 00:15:00+00:00
ADAUSDT,0.6513,1.8678,0.3487,2026-03-26 00:20:00+00:00
ADAUSDT,0.6512,1.867,0.3488,2026-03-26 00:25:00+00:00
ADAUSDT,0.6515,1.8694,0.3485,2026-03-26 00:30:00+00:00
ADAUSDT,0.6516,1.8703,0.3484,2026-03-26 00:35:00+00:00
ADAUSDT,0.6518,1.8719,0.3482,2026-03-26 00:40:00+00:00
ADAUSDT,0.6517,1.8711,0.3483,2026-03-26 00:45:00+00:00
ADAUSDT,0.6514,1.8686,0.3486,2026-03-26 00:50:00+00:00
ADAUSDT,0.652,1.8736,0.348,2026-03-26 00:55:00+00:00
ADAUSDT,0.6526,1.8785,0.3474,2026-03-26 01:00:00+00:00
ADAUSDT,0.6529,1.881,0.3471,2026-03-26 01:05:00+00:00
ADAUSDT,0.6527,1.8794,0.3473,2026-03-26 01:10:00+00:00
ADAUSDT,0.653,1.8818,0.347,2026-03-26 01:15:00+00:00
ADAUSDT,0.6532,1.8835,0.3468,2026-03-26 01:20:00+00:00
ADAUSDT,0.6534,1.8852,0.3466,2026-03-26 01:25:00+00:00
ADAUSDT,0.6536,1.8868,0.3464,2026-03-26 01:30:00+00:00
ADAUSDT,0.6532,1.8835,0.3468,2026-03-26 01:35:00+00:00
ADAUSDT,0.6534,1.8852,0.3466,2026-03-26 01:40:00+00:00
ADAUSDT,0.6541,1.891,0.3459,2026-03-26 01:45:00+00:00
ADAUSDT,0.6539,1.8893,0.3461,2026-03-26 01:50:00+00:00
ADAUSDT,0.6541,1.891,0.3459,2026-03-26 01:55:00+00:00
ADAUSDT,0.6541,1.891,0.3459,2026-03-26 02:00:00+00:00
ADAUSDT,0.6541,1.891,0.3459,2026-03-26 02:05:00+00:00
ADAUSDT,0.6554,1.9019,0.3446,2026-03-26 02:10:00+00:00
ADAUSDT,0.6562,1.9087,0.3438,2026-03-26 02:15:00+00:00
ADAUSDT,0.6563,1.9095,0.3437,2026-03-26 02:20:00+00:00
ADAUSDT,0.6567,1.9129,0.3433,2026-03-26 02:25:00+00:00
ADAUSDT,0.6568,1.9138,0.3432,2026-03-26 02:30:00+00:00
ADAUSDT,0.6549,1.8977,0.3451,2026-03-26 02:35:00+00:00
ADAUSDT,0.655,1.8986,0.345,2026-03-26 02:40:00+00:00
ADAUSDT,0.6551,1.8994,0.3449,2026-03-26 02:45:00+00:00
ADAUSDT,0.6552,1.9002,0.3448,2026-03-26 02:50:00+00:00
ADAUSDT,0.6551,1.8994,0.3449,2026-03-26 02:55:00+00:00
ADAUSDT,0.6552,1.9002,0.3448,2026-03-26 03:00:00+00:00
ADAUSDT,0.6557,1.9044,0.3443,2026-03-26 03:05:00+00:00
ADAUSDT,0.6552,1.9002,0.3448,2026-03-26 03:10:00+00:00
ADAUSDT,0.6555,1.9028,0.3445,2026-03-26 03:15:00+00:00
ADAUSDT,0.6555,1.9028,0.3445,2026-03-26 03:20:00+00:00
ADAUSDT,0.6582,1.9257,0.3418,2026-03-26 03:25:00+00:00
ADAUSDT,0.6583,1.9265,0.3417,2026-03-26 03:30:00+00:00
ADAUSDT,0.6583,1.9265,0.3417,2026-03-26 03:35:00+00:00
ADAUSDT,0.6585,1.9283,0.3415,2026-03-26 03:40:00+00:00
ADAUSDT,0.6585,1.9283,0.3415,2026-03-26 03:45:00+00:00
ADAUSDT,0.6587,1.93,0.3413,2026-03-26 03:50:00+00:00
ADAUSDT,0.6588,1.9308,0.3412,2026-03-26 03:55:00+00:00
ADAUSDT,0.6593,1.9351,0.3407,2026-03-26 04:00:00+00:00
ADAUSDT,0.6584,1.9274,0.3416,2026-03-26 04:05:00+00:00
ADAUSDT,0.6584,1.9274,0.3416,2026-03-26 04:10:00+00:00
ADAUSDT,0.6573,1.918,0.3427,2026-03-26 04:15:00+00:00
ADAUSDT,0.6575,1.9197,0.3425,2026-03-26 04:20:00+00:00
ADAUSDT,0.6577,1.9214,0.3423,2026-03-26 04:25:00+00:00
ADAUSDT,0.6578,1.9223,0.3422,2026-03-26 04:30:00+00:00
ADAUSDT,0.658,1.924,0.342,2026-03-26 04:35:00+00:00
ADAUSDT,0.6578,1.9223,0.3422,2026-03-26 04:40:00+00:00
ADAUSDT,0.6584,1.9274,0.3416,2026-03-26 04:45:00+00:00
ADAUSDT,0.6584,1.9274,0.3416,2026-03-26 04:50:00+00:00
