symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BNBUSDT,509236.85,330104842.74639523,136357441.90000000,2026-03-25 22:40:00+00:00
BNBUSDT,508923.0,330266657.532588,136357441.90000000,2026-03-25 22:45:00+00:00
BNBUSDT,508964.7,330336486.53388196,136357441.90000000,2026-03-25 22:50:00+00:00
BNBUSDT,508929.78,330264891.4332,136357441.90000000,2026-03-25 22:55:00+00:00
BNBUSDT,508831.91,330323499.3338,136357441.90000000,2026-03-25 23:00:00+00:00
BNBUSDT,509008.86,330354383.9698373,136357441.90000000,2026-03-25 23:05:00+00:00
BNBUSDT,509048.67,330372586.83,136357441.90000000,2026-03-25 23:10:00+00:00
BNBUSDT,508994.19,330062372.4474,136357441.90000000,2026-03-25 23:15:00+00:00
BNBUSDT,508947.54,329798005.92,136357441.90000000,2026-03-25 23:20:00+00:00
BNBUSDT,508889.68,329908090.6472,136357441.90000000,2026-03-25 23:25:00+00:00
BNBUSDT,508950.0,329744123.157267,136357441.90000000,2026-03-25 23:30:00+00:00
BNBUSDT,509038.79,329749154.7889839,136357441.90000000,2026-03-25 23:35:00+00:00
BNBUSDT,509034.94,329610304.3488,136357441.90000000,2026-03-25 23:40:00+00:00
BNBUSDT,509020.53,329420208.916984,136357441.90000000,2026-03-25 23:45:00+00:00
BNBUSDT,509045.24,329370813.48984694,136357441.90000000,2026-03-25 23:50:00+00:00
BNBUSDT,509160.56,329864941.65766776,136357441.90000000,2026-03-25 23:55:00+00:00
BNBUSDT,509181.89,329841166.2453312,136357441.90000000,2026-03-26 00:00:00+00:00
BNBUSDT,508573.79,329634204.7173492,136357441.90000000,2026-03-26 00:05:00+00:00
BNBUSDT,508544.49,329170677.4872,136357441.90000000,2026-03-26 00:10:00+00:00
BNBUSDT,508584.0,329316038.1569448,136357441.90000000,2026-03-26 00:15:00+00:00
BNBUSDT,508561.08,329194288.13835126,136357441.90000000,2026-03-26 00:20:00+00:00
BNBUSDT,508628.69,329351944.25100935,136357441.90000000,2026-03-26 00:25:00+00:00
BNBUSDT,508655.88,329380115.094,136357441.90000000,2026-03-26 00:30:00+00:00
BNBUSDT,508650.12,329371867.9911008,136357441.90000000,2026-03-26 00:35:00+00:00
BNBUSDT,508687.03,329425739.6783293,136357441.90000000,2026-03-26 00:40:00+00:00
BNBUSDT,508780.08,329480892.0072,136357441.90000000,2026-03-26 00:45:00+00:00
BNBUSDT,508841.38,329708945.6681672,136357441.90000000,2026-03-26 00:50:00+00:00
BNBUSDT,508938.6,329196754.638,136357441.90000000,2026-03-26 00:55:00+00:00
BNBUSDT,508895.13,329428173.4542,136357441.90000000,2026-03-26 01:00:00+00:00
BNBUSDT,508998.32,329462483.39616346,136357441.90000000,2026-03-26 01:05:00+00:00
BNBUSDT,508942.81,329167291.6891585,136357441.90000000,2026-03-26 01:10:00+00:00
BNBUSDT,508924.55,329183123.5375776,136357441.90000000,2026-03-26 01:15:00+00:00
BNBUSDT,508893.3,328943540.187,136357441.90000000,2026-03-26 01:20:00+00:00
